suite,metric_name,case,tier,n,mean,std,se,ci_low,ci_high
A,dataset.generated,a-001,,97,6.000000,0.000000,0.000000,6.000000,6.000000
A,suite_a.accuracy,a-101,no-memory,97,0.000000,0.000000,0.000000,0.000000,0.000000
A,suite_a.faithfulness,a-101,no-memory,97,0.000000,0.000000,0.000000,0.000000,0.000000
A,suite_a.drift,a-101,no-memory,97,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.questions,a-101,no-memory,97,36.000000,0.000000,0.000000,36.000000,36.000000
A,case.completed,a-101,no-memory,97,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.accuracy,a-102,summary,97,0.555556,0.000000,0.000000,0.555556,0.555556
A,suite_a.faithfulness,a-102,summary,97,0.555556,0.000000,0.000000,0.555556,0.555556
A,suite_a.drift,a-102,summary,97,0.444444,0.000000,0.000000,0.444444,0.444444
A,suite_a.questions,a-102,summary,97,36.000000,0.000000,0.000000,36.000000,36.000000
A,case.completed,a-102,summary,97,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.accuracy,a-103,vector,97,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.faithfulness,a-103,vector,97,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.drift,a-103,vector,97,0.000000,0.000000,0.000000,0.000000,0.000000
A,suite_a.questions,a-103,vector,97,36.000000,0.000000,0.000000,36.000000,36.000000
A,case.completed,a-103,vector,97,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.accuracy,a-104,graph,82,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.faithfulness,a-104,graph,82,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.drift,a-104,graph,82,0.000000,0.000000,0.000000,0.000000,0.000000
A,suite_a.questions,a-104,graph,82,36.000000,0.000000,0.000000,36.000000,36.000000
A,case.completed,a-104,graph,82,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.accuracy,a-105,hybrid,84,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.faithfulness,a-105,hybrid,84,1.000000,0.000000,0.000000,1.000000,1.000000
A,suite_a.drift,a-105,hybrid,84,0.000000,0.000000,0.000000,0.000000,0.000000
A,suite_a.questions,a-105,hybrid,84,36.000000,0.000000,0.000000,36.000000,36.000000
A,case.completed,a-105,hybrid,84,1.000000,0.000000,0.000000,1.000000,1.000000
graceful-degradation,degradation.time_to_first_useful,g-002,,1,-1.000000,0.000000,0.000000,-1.000000,-1.000000
graceful-degradation,degradation.useful_count,g-002,,1,0.000000,0.000000,0.000000,0.000000,0.000000
graceful-degradation,case.completed,g-002,,1,1.000000,0.000000,0.000000,1.000000,1.000000
graceful-degradation,degradation.time_to_first_useful,g-003,,1,-1.000000,0.000000,0.000000,-1.000000,-1.000000
graceful-degradation,degradation.useful_count,g-003,,1,0.000000,0.000000,0.000000,0.000000,0.000000
graceful-degradation,case.completed,g-003,,1,1.000000,0.000000,0.000000,1.000000,1.000000
